epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,48814.5,0.4683,0.39648,0.93319,0.67628,0.69402,0.74707,0.63311,0.86797,1.38983,1.35478,0.00056704,0.00056704,0.00056704
117,49208.5,0.46166,0.39134,0.9259,0.67464,0.69571,0.74716,0.63381,0.86728,1.39051,1.35492,0.000560864,0.000560864,0.000560864
118,49602,0.46014,0.38984,0.92709,0.66442,0.7108,0.74763,0.63394,0.86613,1.39187,1.355,0.000554679,0.000554679,0.000554679
119,49996.1,0.46028,0.39015,0.92761,0.6757,0.69447,0.74817,0.63462,0.86556,1.3912,1.35597,0.000548486,0.000548486,0.000548486
120,50387.8,0.45572,0.38653,0.92411,0.67479,0.69348,0.74836,0.63518,0.86397,1.39119,1.35569,0.000542287,0.000542287,0.000542287
121,50780.6,0.45589,0.38732,0.92403,0.67556,0.69158,0.74793,0.63483,0.86339,1.39209,1.35649,0.000536081,0.000536081,0.000536081
122,51173.3,0.45374,0.38527,0.92342,0.6767,0.69036,0.74928,0.6363,0.86258,1.39548,1.35654,0.000529871,0.000529871,0.000529871
123,51564.7,0.44806,0.38062,0.92075,0.67552,0.69074,0.74915,0.63625,0.8619,1.39942,1.35691,0.000523657,0.000523657,0.000523657
124,51957.1,0.44996,0.38281,0.92184,0.67509,0.69135,0.74923,0.63677,0.86175,1.40173,1.35779,0.000517439,0.000517439,0.000517439
125,52348.9,0.44894,0.38308,0.92212,0.67575,0.691,0.74944,0.6373,0.86193,1.40496,1.35965,0.00051122,0.00051122,0.00051122
126,52742.5,0.44563,0.38224,0.921,0.66445,0.70478,0.75023,0.63844,0.86196,1.40812,1.36088,0.000505,0.000505,0.000505
127,53134.4,0.44548,0.38041,0.92104,0.64099,0.74169,0.74915,0.63783,0.86166,1.41094,1.36171,0.00049878,0.00049878,0.00049878
128,53527.8,0.44174,0.37787,0.91949,0.64186,0.74409,0.74945,0.63768,0.86116,1.41406,1.3623,0.000492561,0.000492561,0.000492561
129,53919.1,0.44371,0.37888,0.91874,0.64306,0.74343,0.74965,0.63816,0.86125,1.41907,1.36389,0.000486343,0.000486343,0.000486343
130,54310.1,0.43756,0.37746,0.91688,0.64239,0.74188,0.75038,0.63892,0.86098,1.42363,1.3648,0.000480129,0.000480129,0.000480129
131,54702.2,0.43793,0.37513,0.91766,0.64005,0.74526,0.75006,0.63838,0.8608,1.42502,1.36594,0.000473919,0.000473919,0.000473919
132,55092.7,0.43609,0.37525,0.91423,0.64261,0.74185,0.75069,0.63927,0.85958,1.42855,1.3658,0.000467713,0.000467713,0.000467713
133,55484.9,0.43279,0.37224,0.91499,0.6417,0.74213,0.75048,0.63929,0.85907,1.43118,1.36677,0.000461514,0.000461514,0.000461514
134,55876.8,0.42782,0.37034,0.9124,0.64175,0.74256,0.75063,0.63964,0.85861,1.43442,1.3684,0.000455321,0.000455321,0.000455321
135,56270.6,0.43043,0.3729,0.91275,0.64135,0.74098,0.75014,0.63977,0.85783,1.43858,1.36917,0.000449136,0.000449136,0.000449136
136,56661.1,0.42625,0.36809,0.91253,0.64368,0.7408,0.75115,0.64017,0.8576,1.44274,1.37039,0.00044296,0.00044296,0.00044296
137,57052.1,0.42654,0.3671,0.91312,0.65161,0.73109,0.75028,0.63932,0.8576,1.4431,1.37227,0.000436794,0.000436794,0.000436794
138,57444.2,0.42543,0.36624,0.91299,0.64866,0.73436,0.75131,0.64082,0.85743,1.44596,1.37427,0.000430638,0.000430638,0.000430638
139,57835.2,0.41994,0.36778,0.91127,0.64811,0.73421,0.7515,0.64108,0.85736,1.44525,1.37621,0.000424495,0.000424495,0.000424495
140,58228.1,0.41949,0.36625,0.9083,0.64801,0.7318,0.75081,0.64093,0.85698,1.44824,1.37713,0.000418364,0.000418364,0.000418364
141,58619.4,0.41912,0.36363,0.90796,0.64702,0.73255,0.75037,0.64104,0.85689,1.44915,1.37891,0.000412246,0.000412246,0.000412246
142,59011.5,0.41895,0.36296,0.90712,0.64284,0.73937,0.75104,0.64202,0.85654,1.45117,1.38014,0.000406144,0.000406144,0.000406144
143,59401.8,0.41669,0.361,0.90714,0.64753,0.73024,0.75179,0.64271,0.8549,1.45355,1.38,0.000400056,0.000400056,0.000400056
144,59794.8,0.41397,0.36127,0.90521,0.66834,0.69969,0.75227,0.64331,0.85387,1.45445,1.38008,0.000393986,0.000393986,0.000393986
145,60186.5,0.41376,0.35876,0.90443,0.64973,0.72754,0.75282,0.64421,0.85333,1.45335,1.38126,0.000387933,0.000387933,0.000387933
146,60577.1,0.41357,0.36135,0.90574,0.64805,0.732,0.75274,0.64428,0.85294,1.4549,1.38294,0.000381899,0.000381899,0.000381899
147,60968.9,0.41378,0.3605,0.90934,0.64323,0.74195,0.75309,0.64483,0.85212,1.45686,1.38413,0.000375883,0.000375883,0.000375883
148,61361.9,0.40646,0.35907,0.90543,0.64911,0.72837,0.7533,0.64552,0.8517,1.45881,1.38577,0.000369889,0.000369889,0.000369889
149,61816.7,0.40578,0.35442,0.9039,0.65038,0.72911,0.75344,0.64623,0.85134,1.46036,1.38748,0.000363915,0.000363915,0.000363915
150,62209,0.40537,0.35956,0.9046,0.64861,0.72843,0.75315,0.64573,0.85016,1.46036,1.38815,0.000357964,0.000357964,0.000357964
151,62601.7,0.40175,0.35566,0.90246,0.64854,0.73259,0.7531,0.64587,0.84993,1.46078,1.38908,0.000352037,0.000352037,0.000352037
