======================================================================
ENSEMBLE SHOPLIFTING DETECTION LOG
======================================================================

Models: 2
Merge method: Weighted Box Fusion (WBF)
Model weights: [0.45, 0.55]
Confidence: 0.2

Total frames processed: 201
Total detections: 319

----------------------------------------------------------------------
DETECTIONS:
----------------------------------------------------------------------
Frame    142 | product         | Conf: 0.1107 | Box: [526, 214, 544, 245]
Frame    143 | normal          | Conf: 0.3820 | Box: [413, 121, 559, 405]
Frame    143 | product-picked  | Conf: 0.2814 | Box: [424, 118, 551, 386]
Frame    143 | product         | Conf: 0.1127 | Box: [526, 222, 544, 250]
Frame    144 | normal          | Conf: 0.4453 | Box: [418, 121, 553, 399]
Frame    144 | shoplifting     | Conf: 0.3706 | Box: [411, 126, 558, 409]
Frame    144 | shoplifting     | Conf: 0.2030 | Box: [446, 264, 477, 303]
Frame    145 | normal          | Conf: 0.5167 | Box: [415, 124, 551, 398]
Frame    145 | shoplifting     | Conf: 0.3582 | Box: [408, 128, 559, 406]
Frame    145 | shoplifting     | Conf: 0.1741 | Box: [443, 266, 476, 308]
Frame    146 | shoplifting     | Conf: 0.5231 | Box: [415, 134, 554, 395]
Frame    146 | normal          | Conf: 0.2770 | Box: [418, 122, 550, 399]
Frame    147 | shoplifting     | Conf: 0.6210 | Box: [418, 135, 554, 399]
Frame    147 | normal          | Conf: 0.2201 | Box: [420, 116, 552, 403]
Frame    148 | normal          | Conf: 0.5224 | Box: [425, 140, 558, 412]
Frame    148 | shoplifting     | Conf: 0.4287 | Box: [424, 143, 556, 406]
Frame    149 | normal          | Conf: 0.4938 | Box: [427, 146, 559, 416]
Frame    149 | shoplifting     | Conf: 0.3657 | Box: [425, 151, 560, 415]
Frame    150 | normal          | Conf: 0.4445 | Box: [433, 156, 563, 425]
Frame    150 | shoplifting     | Conf: 0.3795 | Box: [433, 152, 563, 434]
Frame    151 | normal          | Conf: 0.5191 | Box: [434, 161, 564, 429]
Frame    151 | shoplifting     | Conf: 0.1806 | Box: [440, 134, 559, 444]
Frame    152 | normal          | Conf: 0.6543 | Box: [439, 159, 571, 455]
Frame    152 | shoplifting     | Conf: 0.1643 | Box: [443, 137, 564, 449]
Frame    153 | normal          | Conf: 0.4002 | Box: [438, 163, 578, 460]
Frame    153 | shoplifting     | Conf: 0.1466 | Box: [443, 141, 566, 452]
Frame    154 | shoplifting     | Conf: 0.3635 | Box: [438, 177, 588, 461]
Frame    154 | product-picked  | Conf: 0.1780 | Box: [450, 161, 567, 452]
Frame    154 | normal          | Conf: 0.1430 | Box: [436, 182, 597, 464]
Frame    155 | shoplifting     | Conf: 0.3686 | Box: [444, 174, 580, 456]
Frame    155 | normal          | Conf: 0.1063 | Box: [451, 158, 570, 455]
Frame    156 | shoplifting     | Conf: 0.3722 | Box: [440, 197, 594, 456]
Frame    156 | normal          | Conf: 0.2943 | Box: [451, 163, 573, 461]
Frame    157 | normal          | Conf: 0.3526 | Box: [449, 170, 570, 465]
Frame    157 | shoplifting     | Conf: 0.2244 | Box: [442, 198, 595, 458]
Frame    158 | normal          | Conf: 0.7474 | Box: [443, 190, 586, 474]
Frame    158 | shoplifting     | Conf: 0.2134 | Box: [439, 204, 599, 466]
Frame    158 | shoplifting     | Conf: 0.1520 | Box: [462, 384, 517, 433]
Frame    159 | normal          | Conf: 0.8210 | Box: [440, 193, 587, 478]
Frame    159 | shoplifting     | Conf: 0.1954 | Box: [438, 209, 599, 471]
Frame    160 | normal          | Conf: 0.8456 | Box: [438, 199, 587, 480]
Frame    161 | normal          | Conf: 0.8483 | Box: [438, 202, 588, 480]
Frame    162 | normal          | Conf: 0.8558 | Box: [436, 210, 589, 480]
Frame    163 | normal          | Conf: 0.3989 | Box: [439, 201, 576, 480]
Frame    164 | normal          | Conf: 0.3974 | Box: [434, 224, 569, 480]
Frame    164 | shoplifting     | Conf: 0.3507 | Box: [421, 249, 590, 480]
Frame    165 | shoplifting     | Conf: 0.4646 | Box: [420, 255, 588, 480]
Frame    165 | normal          | Conf: 0.3857 | Box: [431, 230, 569, 480]
Frame    166 | shoplifting     | Conf: 0.4627 | Box: [401, 261, 582, 478]
Frame    166 | normal          | Conf: 0.3605 | Box: [420, 248, 569, 480]
Frame    167 | shoplifting     | Conf: 0.4516 | Box: [405, 261, 570, 478]
Frame    167 | normal          | Conf: 0.3855 | Box: [418, 252, 569, 480]
Frame    168 | shoplifting     | Conf: 0.4384 | Box: [395, 293, 554, 480]
Frame    168 | normal          | Conf: 0.3583 | Box: [402, 259, 564, 480]
Frame    169 | shoplifting     | Conf: 0.5931 | Box: [387, 286, 559, 480]
Frame    169 | normal          | Conf: 0.1959 | Box: [394, 268, 563, 480]
Frame    170 | shoplifting     | Conf: 0.5483 | Box: [364, 308, 547, 479]
Frame    171 | shoplifting     | Conf: 0.4559 | Box: [341, 302, 541, 479]
Frame    172 | shoplifting     | Conf: 0.1315 | Box: [337, 303, 535, 480]
